"filename", "language", "C#", "XML", "Markdown", "comment", "blank", "total"
"f:\VSProj\repos\RYCBEditorX.Utils\CommentLoader.cs", "C#", 29, 0, 0, 2, 9, 40
"f:\VSProj\repos\RYCBEditorX.Utils\Converters.cs", "C#", 25, 0, 0, 0, 2, 27
"f:\VSProj\repos\RYCBEditorX.Utils\EmbeddedWindow.cs", "C#", 160, 0, 0, 8, 9, 177
"f:\VSProj\repos\RYCBEditorX.Utils\Exceptions.cs", "C#", 13, 0, 0, 0, 5, 18
"f:\VSProj\repos\RYCBEditorX.Utils\Extensions.cs", "C#", 54, 0, 0, 20, 11, 85
"f:\VSProj\repos\RYCBEditorX.Utils\FileStructAnalyzer.cs", "C#", 52, 0, 0, 1, 8, 61
"f:\VSProj\repos\RYCBEditorX.Utils\GlobalConfig.cs", "C#", 126, 0, 0, 42, 28, 196
"f:\VSProj\repos\RYCBEditorX.Utils\I18nResources.xaml", "XML", 0, 66, 0, 6, 12, 84
"f:\VSProj\repos\RYCBEditorX.Utils\InfoClass.cs", "C#", 124, 0, 0, 0, 10, 134
"f:\VSProj\repos\RYCBEditorX.Utils\Json2TreeViewParser.cs", "C#", 49, 0, 0, 4, 8, 61
"f:\VSProj\repos\RYCBEditorX.Utils\LocalizationService.cs", "C#", 29, 0, 0, 0, 4, 33
"f:\VSProj\repos\RYCBEditorX.Utils\LogUtil.cs", "C#", 115, 0, 0, 0, 8, 123
"f:\VSProj\repos\RYCBEditorX.Utils\PypiHelper.cs", "C#", 126, 0, 0, 0, 9, 135
"f:\VSProj\repos\RYCBEditorX.Utils\README.md", "Markdown", 0, 0, 1, 0, 2, 3
"f:\VSProj\repos\RYCBEditorX.Utils\RYCBEditorX.Utils.csproj", "XML", 0, 20, 0, 0, 0, 20
"f:\VSProj\repos\RYCBEditorX.Utils\UtilsModule.cs", "C#", 14, 0, 0, 0, 1, 15
"Total", "-", 916, 86, 1, 83, 126, 1212